[2025-04-30 17:07:30,660: INFO: main: Welocome to info]
[2025-05-05 17:19:03,863: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:19:03,891: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-05 17:19:03,894: INFO: comman: created directory at: artifacts]
[2025-05-05 17:19:03,897: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-05 17:19:03,899: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:19:15,735: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:53:51,735: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-05-05 17:53:51,737: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:53:51,738: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-05 17:53:51,739: INFO: comman: created directory at: artifacts]
[2025-05-05 17:53:51,740: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-05 17:53:51,740: INFO: data_ingestion_01: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:54:03,657: INFO: data_ingestion_01: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:54:04,519: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
